horizon,metric,value
1,correction_norm,0.2640262855030596
1,mse_improve,-0.00823058633133769
2,correction_norm,0.2646829192340374
2,mse_improve,-0.009596771113574504
3,correction_norm,0.25792830740101635
3,mse_improve,-0.0062434081081300975
4,correction_norm,0.2562893508002162
4,mse_improve,-0.004660404212772846
5,correction_norm,0.2548623617645353
5,mse_improve,-0.010214933175593615
6,correction_norm,0.2432113479822874
6,mse_improve,-0.00849082981236279
7,correction_norm,0.24550845108926297
7,mse_improve,-0.011230507344007492
8,correction_norm,0.24300290972925723
8,mse_improve,-0.0055105064716190096
9,correction_norm,0.2409249190427363
9,mse_improve,-0.010261761061847209
10,correction_norm,0.24071677384898066
10,mse_improve,-0.004645080137997866
